team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
49ers,SF,14,,DT,553386485,Alfred Collins,0,0,10521,95,1,4.00,0,1,0,0,0,0,0.50,0,0,3.00
49ers,SF,14,,REDGE,553388898,Mykel Williams,0,0,10782,98,1,7.00,0,0,0,0,0,0,2.00,0,0,3.00
49ers,SF,14,,WILL,553387660,Nick Martin,0,0,10647,45,1,5.00,0,0,0,0,0,0,1.00,0,0,3.00
49ers,SF,14,,CB,553388525,Upton Stout,0,0,10743,20,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,CB,553386974,Renardo Green,1,0,10090,0,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,MIKE,553386195,Tatum Bethune,1,0,10013,48,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,WILL,553388944,Dee Winters,2,0,2484,53,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
49ers,SF,14,,SS,553386316,Ji'Ayir Brown,2,0,1874,27,1,4.00,0,0,0,0,0,0,1.00,0,0,2.00
49ers,SF,14,,SAM,553388479,Baylon Spector,3,0,1953,49,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,CB,553387395,Jack Jones,3,0,1788,37,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,CB,553387562,Deommodore Lenoir,4,0,1205,2,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,REDGE,553387209,Bryce Huff,5,0,1453,47,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
49ers,SF,14,,LEDGE,553386243,Nick Bosa,6,0,9390,97,1,5.00,0,0,0,0,0,0,1.00,0,0,3.00
49ers,SF,14,,MIKE,553388792,Fred Warner,7,0,9101,54,1,3.00,0,0,0,0,0,0,0.50,0,0,2.00
49ers,SF,14,,FS,553388396,Justin Simmons,9,0,8214,30,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,MIKE,553389121,Jailin Walker,0,0,11028,11,1,18.00,0,0,1,0,0,0,3.00,0,0,9.00
Bears,CHI,0,,DT,553388711,Shemar Turner,0,0,10761,95,1,7.00,0,0,1,1,0,0,1.00,0,0,2.00
Bears,CHI,0,,CB,553386853,Zah Frazier,0,0,10795,35,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
Bears,CHI,0,,LEDGE,553386232,Austin Booker,1,0,10016,94,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,DT,553386631,Gervon Dexter Sr,2,0,2108,99,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,CB,553387398,Jaylon Jones,3,0,2562,33,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,CB,553386944,Kyler Gordon,3,0,1738,6,1,5.00,0,1,0,0,1,4,0.00,0,0,2.00
Bears,CHI,0,,REDGE,553388092,Jaelan Phillips,4,0,1028,0,1,3.00,0,0,0,0,0,0,0.50,0,0,2.00
Bears,CHI,0,,FS,553386577,Ashtyn Davis,5,0,235,21,1,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Bears,CHI,0,,CB,553387347,Jaylon Johnson,5,0,398,1,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,SS,553388022,Jonathan Owens,6,0,1497,36,1,2.00,0,1,0,0,0,0,0.00,0,0,2.00
Bears,CHI,0,,LEDGE,553388557,Montez Sweat,6,0,9643,98,1,8.00,0,0,0,0,0,0,2.50,0,0,3.00
Bears,CHI,0,,MIKE,553386712,T.J. Edwards,6,0,9449,53,1,4.00,0,0,0,0,0,0,1.00,0,0,2.00
Bears,CHI,0,,SS,553387265,Eddie Jackson,8,0,8600,39,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,FS,553386375,Kevin Byard III,9,0,7928,31,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,SAM,553386413,Barrett Carter,0,0,10517,49,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bengals,CIN,1,,WILL,553387488,Demetrius Knight Jr.,0,0,10627,44,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,DT,553387302,Jordan Jefferson,1,0,10123,94,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553387926,Josh Newton,1,0,10194,28,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bengals,CIN,1,,CB,553388703,DJ Turner II,2,0,2438,20,1,2.00,0,3,0,0,0,0,0.00,0,0,2.00
