tradeId,teamA,teamB,draftPicksA,draftPicksB,approved,season,details,created
303677,Dolphins,Packers,,"[{'pick': 16, 'year': 2026, 'round': 2, 'value': 420.0, 'future': 0}]",True,0,,2025-10-11 00:12:05.029400
303695,Bears,Seahawks,,"[{'pick': 16, 'year': 2026, 'round': 2, 'value': 420.0, 'future': 0}]",True,0,,2025-10-11 01:10:06.429903
303729,Saints,Giants,,,False,0,,2025-10-11 02:26:15.911534
303802,Rams,Chargers,,"[{'pick': 16, 'year': 2028, 'round': 5, 'value': 17.0, 'future': 2}]",True,0,,2025-10-11 13:07:05.969799
303916,Bills,Giants,"[{'pick': 20, 'year': 2026, 'round': 3, 'value': 170.0, 'future': 0}]","[{'pick': 10, 'year': 2026, 'round': 6, 'value': 23.4, 'future': 0}]",True,0,,2025-10-11 21:37:53.108289
303919,Saints,Texans,,"[{'pick': 16, 'year': 2026, 'round': 5, 'value': 34.0, 'future': 0}]",True,0,,2025-10-11 21:44:11.658691
303932,Dolphins,Bears,"[{'pick': 16, 'year': 2026, 'round': 4, 'value': 70.0, 'future': 0}]","[{'pick': 16, 'year': 2026, 'round': 6, 'value': 21.0, 'future': 0}]",True,0,,2025-10-11 22:30:50.636708
303978,Browns,Patriots,,"[{'pick': 16, 'year': 2026, 'round': 3, 'value': 190.0, 'future': 0}]",True,0,,2025-10-12 01:22:10.706532
303986,Saints,Colts,"[{'pick': 16, 'year': 2026, 'round': 2, 'value': 420.0, 'future': 0}]","[{'pick': 16, 'year': 2026, 'round': 3, 'value': 190.0, 'future': 0}]",True,0,The 3rd rounder was left out on the Ind submitted trade,2025-10-12 01:44:59.702824
303996,Patriots,Jaguars,,"[{'pick': 15, 'year': 2026, 'round': 4, 'value': 72.0, 'future': 0}]",True,0,,2025-10-12 02:40:02.231606
304082,Rams,Buccaneers,"[{'pick': 16, 'year': 2027, 'round': 3, 'value': 95.0, 'future': 1}]",,True,0,,2025-10-12 18:21:54.640345
304265,Commanders,Chargers,"[{'pick': 1, 'year': 2027, 'round': 5, 'value': 21.5, 'future': 1}, {'pick': 1, 'year': 2027, 'round': 7, 'value': 7.1, 'future': 1}]",,True,0,,2025-10-13 13:28:55.043307
